,ts,x,heading,y,rssi_3,rssi_4,rssi_5,rssi_8,rssi_10,rssi_11
1562,1.627997975227e+18,-4.18056476235414,-35.972987875335384,1.6065962917370302,-45.744576200678786,-73.0567406154294,-63.816989475978865,-51.0,-66.63152842015685,-49.902557701520244
1563,1.6279979755603333e+18,-4.18056476235414,-35.972987875335384,1.6065962917370302,,,,-49.0,,
1564,1.6279979758936668e+18,-4.204755280324003,-35.970278829928866,1.769334029199703,-47.64747592985649,-67.0,-58.673413181686705,-41.36194447912907,-68.81698947597886,-45.218840360868235
1565,1.627997976227e+18,-4.204755280324003,-35.970278829928866,1.769334029199703,-47.744576200678786,-66.0,-61.88587392869641,-42.937700904720835,-57.67834375675554,-46.00164327581187
1566,1.6279979765603333e+18,-4.229713126851141,-35.965954072913505,1.9273081358131563,-48.79791593749726,-65.52724374661273,-65.84075706384448,-40.52724374661271,-66.7445762006788,-47.94200867351528
1567,1.6279979768936668e+18,-4.2556417002213776,-35.95278738552539,2.080164696701438,-54.49533053638751,-68.62601873582267,-56.24402496388473,-44.0,-66.79791593749727,-49.875090735559425
1568,1.627997977227e+18,-4.2556417002213776,-35.95278738552539,2.080164696701438,-48.59637310505755,-67.0,-63.0,-46.0,-61.955966814439364,-55.55489532554688
1569,1.6279979775603333e+18,-4.2847322498931355,-35.94870800328921,2.230958971504005,-44.902557701520244,-69.0,-54.52724374661272,-45.0,-56.840757063844485,-45.744576200678786
1570,1.6279979778936668e+18,-4.314864995372542,-35.93583619387191,2.3843353500798,-50.495330536387506,-64.43025578968134,-52.0,-42.774277992514,-58.67834375675553,-60.55489532554688
1571,1.627997978227e+18,-4.314864995372542,-35.93583619387191,2.3843353500798,-48.5436954044528,-54.0,-53.489777785407,-42.29132982023075,-58.84075706384448,-47.840757063844485
1572,1.6279979785603333e+18,-4.347743371807018,-35.91977560950758,2.539731879899571,-55.24595133227496,-62.26859135615157,-57.220202460114145,-45.155391906864665,-60.26827699244236,-49.902557701520244
1573,1.6279979788936668e+18,-4.388656733316122,-35.904963672839955,2.6983474265247356,-47.495330536387506,-56.92358370267847,-55.816989475978865,-50.0,-62.999404650640194,-47.61816555865076
1574,1.627997979227e+18,-4.388656733316122,-35.904963672839955,2.6983474265247356,-57.245951332274956,-57.36194447912907,-56.037072019552866,-42.43025578968133,-62.88587392869641,-53.744576200678786
1575,1.6279979795603333e+18,-4.431222186338958,-35.9022746396655,2.8533546556280203,-44.875090735559425,-58.52724374661272,-59.37137961520602,-40.0,-65.81698947597887,-51.94200867351529
1576,1.6279979798936668e+18,-4.475020090162549,-35.90454420376891,3.017778488042116,-50.67834375675553,-64.0,-56.47128104620114,-45.16241031110505,-61.596373105057566,-48.59637310505755
